"English",,,"'A Pedagogy of Shame: Coercion and Democratic Education in D. H. Lawrence's The Rainbow' offers a reading of The Rainbow that foregrounds Lawrence's criticism of Britain's public educational system. In short, I argue that the first of the Ursula Brangwen novels contains a powerful indictment against state-promoted public education. Through a heart-rending depiction of Ursula's traumatic experiences as a public-school teacher, Lawrence exposes four crimes committed against the individual during the educational process - normalization, shame, capitulation, and violence. Employing the psychological theories of Sylvan Tomkins, I posit that Lawrence's complex treatment of shame in this novel necessitates a re-examination of The Rainbow, one that reconfigures the historical and literary context in which it is often read.",50,"WOS:000414003400003",3
"English","rhyme; affirmation; imagination; Shelley; Wordsworth; Coleridge",,"'Gleam' and 'dream': the rhyme performs a quintessential Romantic pairing and serves as a window opening on to the topic of rhyme in poetry of the period, not least through the serendipitous way in which it off-rhymes with the word 'rhyme' itself. Rhyme is a matter of spanning or failing to span abysses in Romantic poetry as much as it is an earnest of some ultimate harmony or fulfilment. The word 'gleam' suggests an intimations-inducing flash of light; 'dream', for its part, points towards a possibly insubstantial source or vehicle of embodiment or quest or longing. On the face of it, the coupling may seem as hackneyed as any scorner of Romantic verbal effects might wish. Yet Romantic poetry generates an 'electric life', in Shelley's words in A Defence of Poetry, from this and comparable verbal interknittings, The essay pays particular attention to the rhyme of 'gleam' and 'dream' in various poems, and then to rhyme's intratextual and intertextual effects in poems by Wordsworth and Coleridge; it returns at its close to themes of aspiration and affirmation often resonating through Romantic rhyme.",14,"WOS:000404884500002",3
"English",,,"'If there exists a 'discourse' which is not a mere depository of thin linguistic layers, an archive of structures, or the testimony of a withdrawn body, and is, instead, the essential element of a practice involving the sum of unconscious, subjective, and social relations in gestures of confrontation and appropriation, destruction and construction-productive violence, in short-it is ""literature,"" or, more specifically, the text.' -Julia Kristeva, Revolution in Poetic Language",19,"WOS:000400627700002",3
"English",,,"'Je peins principalement mes cogitations', wrote Montaigne, 'subject informe.' But what form of writing is capable of such depiction? Starting with his description of 'nostre entendement' as 'double et divers', I argue that Montaigne takes two models of thinking about irresolution, one stretching across a diversity of opinion, the other proposing an at least hypothetically endless project of writing, only to collapse them both. I suggest that, in remoulding these linear forms of irresolution, he forges a way of writing 'doubly' and making his text simultaneously diverse. Using Nos affections s'emportent au-dela de nous' (I. 3), I show this in practice.",24,"WOS:000398427000002",3
"English","unnatural narratology; narrative theory; premodern literature; historical approach","VOICE","'Unnatural' narratology has been a thriving new field of narrative theory in recent years. What its various sub-fields share is that they are concerned, very broadly, with narratives that transcend the parameters of conventional realism. One of the field's promises is that it can also account for earlier 'unnatural' narrative scenarios, for instance in ancient and medieval literature. Focusing on two recent publications by Alber and Richardson, this essay challenges the historical trajectory the movement envisages. Paying special attention to the influence of religion on premodern narratives and its implications for the concept of the unnatural, this essay argues that unnatural narratology is reductionist and adheres to a structuralist paradigm, and thus cannot do justice to the idiosyncrasies of premodern narrative forms and functions. An alternative approach to the unnatural as a dynamic form is introduced as an outlook.",57,"WOS:000399451200001",3
"English",,,"""A work of genius is rough-hewn from the first, because it anticipates the lapse of time, and has an ingrained polish, which still appears when fragments are broken off, an essential quality of its substance.""",24,"WOS:000428608500004",3
"English","World War II; Jewish refugees; moral affect; compassion; style; rhetoric",,"""Refugee Blues,"" a poem written on the eve of WWII by W. H. Auden, addresses the serious Jewish refugee problems by evoking in its reader the intense effects of poignancy, apprehension, and compassion. The author would argue that the enduring artistic and humanistic values lie in its moral affects accomplished through artistic manipulations of its ""wind"" (form and style) and ""bone"" (moral theme). Driven by his moral conscience, Auden attempted to use his art to affect the public in order to call for a change in refugee policy by asylum countries. This affect-driven -thematic-cum-stylistic reading aims to reveal the important and complex relationship between Auden's larger social-moral concern and the minutiae of the work's sensuous forms, such as genre, diction, repetition, sound devices, syntax, and figures. A prime example of early Auden's canon, ""Refugee Blues"" witnesses Auden's deliberate effort in exercising the rhetorical power of poetry to save civilisation in the historical as well as literary context.",24,"WOS:000422901000002",3
"English",,,"""Retrospective Radicalism"" argues that when Hemingway's A Farewell to Arms is deeply historicized, its embedded political allegory becomes visible. The submerged part of the text's ""iceberg"" includes the years 1918-1929, when the possibility for a left revolution in Italy was defeated by the consolidation of fascism. Hemingway's political radicalism is expressed in Farewell's references to Turin, Rome, Imola, and the Abruzzo, the vampirism of finance capital, and the problematic neutrality of a ""separate peace."" Underlying this analysis is a rehistoricization of Hemingway's role as a Red Cross volunteer in defeating the very revolution he later claimed to have desired, signaled by the novel's closing with the death of the baby.",75,"WOS:000392040100001",3
"English","The Book of Margery Kempe; scribes; Middle English; Norwich; Richard Salthouse",,"""Salthows"" or Salthouse has long been acknowledged as the scribe of the unique surviving manuscript of The Book of Margery Kempe. This article proposes a detailed biographical background of Salthouse, identified as Richard Salthouse of Norwich. The connections between Salthouse, Kempe, and the city of Norwich are explored, to deepen our understanding of the context in which Kempe's reputation developed and the context in which the manuscript of the The Book of Margery Kempe was written.",31,"WOS:000396740900002",3
"English","early modern; women; kappakvaedi; vikivakakvaedi; edition",,"""Sprundahros"" is an eighteenth-century vikivakakvaedi, which was probably composed by Jon Jonsson a Kviabekk (1739-85). To date, it has not been edited, and it has received scant scholarly attention. In its 22 stanzas, the poem praises the virtues of 25 noteworthy biblical women, female rulers, and women from Old Norse Icelandic literature. There are three witnesses of the poem; the earliest, from ca. 2800, is in 113 815 8vo, and there are two copies of the poem by Gunnlaugur Jonsson a Skuggabjorgum (1766-1866) in JS 255 4to and JS 589 4to, both from 1841. This article presents an introduction to and preliminary analysis of the poem, focusing on its content, authorship, and style. It considers the poem's relationship to the kappakvaJi, and Guamundur Bergporsson (ca. 1657-1705) ca. 1680 poem in particular, to which ""Sprundahros"" may be considered a response. This introduction is followed by a parallel diplomatic and normalized edition of the text based on IB 815 8vo with variants from JS 255 4to and JS 589 4to.",33,"WOS:000419085500007",3
